sample_id,category,difficulty,macro_family,correct_baseline,target_letter,prob_original_target,prob_original_correct,baseline_above_chance,feature_source,n_positive_available,minimal_sufficient_k,minimal_necessary_k,auc_sufficiency,auc_necessity
q106_395289,Instrumentation,Low,percettiva,True,A,0.9179322519818054,0.9179322519818054,True,UC_audio,10,2.0,,0.5581645652429919,0.006355097228964899
q106_395289,Instrumentation,Low,percettiva,True,A,0.9179322519818054,0.9179322519818054,True,UC_text,3,1.0,,0.8450139017242716,0.17422331765220858
q107_2083,Metre and Rhythm,Medium,percettiva,False,C,0.6459742688015959,0.07024644285478973,True,MI,13,,3.0,-0.13621146316705116,0.11486222424943238
q107_2083,Metre and Rhythm,Medium,percettiva,False,C,0.6459742688015959,0.07024644285478973,True,MI_balanced,13,,2.0,-0.05212337280071148,0.09279522540759856
q107_2083,Metre and Rhythm,Medium,percettiva,False,C,0.6459742688015959,0.07024644285478973,True,UC_audio,6,1.0,,0.27998981045471205,0.08894944547482474
q107_2083,Metre and Rhythm,Medium,percettiva,False,C,0.6459742688015959,0.07024644285478973,True,UC_text,4,1.0,3.0,1.5275772275124244,0.8959746733433376
q108_2083,Genre and Style,Low,knowledge,True,A,0.970374472539407,0.970374472539407,True,MI,24,11.0,2.0,0.3910022444400795,1.060354978960294
q108_2083,Genre and Style,Low,knowledge,True,A,0.970374472539407,0.970374472539407,True,MI_balanced,24,8.0,1.0,0.5235679353208674,1.1549601345527243
q108_2083,Genre and Style,Low,knowledge,True,A,0.970374472539407,0.970374472539407,True,UC_audio,12,4.0,,0.7455457119731818,0.010446542865545154
q108_2083,Genre and Style,Low,knowledge,True,A,0.970374472539407,0.970374472539407,True,UC_text,8,1.0,1.0,0.8542259942775288,1.1220902968592938
q109_2083,Instrumentation,Low,percettiva,True,A,0.8344453717564427,0.8344453717564427,True,MI,15,1.0,1.0,0.9532591547837888,0.777186440530158
q109_2083,Instrumentation,Low,percettiva,True,A,0.8344453717564427,0.8344453717564427,True,MI_balanced,15,2.0,1.0,1.0771586633019912,0.9049166252876918
q109_2083,Instrumentation,Low,percettiva,True,A,0.8344453717564427,0.8344453717564427,True,UC_audio,9,1.0,2.0,1.1548234959719035,0.24117289494135838
q109_2083,Instrumentation,Low,percettiva,True,A,0.8344453717564427,0.8344453717564427,True,UC_text,3,1.0,1.0,0.9231645958240922,0.779129891514611
q10_1093606,Sound Texture,Low,percettiva,True,A,0.6831102359483342,0.6831102359483342,True,MI,22,1.0,2.0,0.8387482662321782,1.0801081259589218
q10_1093606,Sound Texture,Low,percettiva,True,A,0.6831102359483342,0.6831102359483342,True,MI_balanced,22,1.0,1.0,0.629698828660392,1.1149943551823014
q10_1093606,Sound Texture,Low,percettiva,True,A,0.6831102359483342,0.6831102359483342,True,UC_audio,6,,,0.08444301191775369,0.09295844478282701
q10_1093606,Sound Texture,Low,percettiva,True,A,0.6831102359483342,0.6831102359483342,True,UC_text,4,1.0,1.0,1.2173893166067027,1.1813166070526342
q110_1336202,Performance,Medium,analitica,True,A,0.9713067933806337,0.9713067933806337,True,MI,16,1.0,,0.5862077663737851,0.2656186144644305
q110_1336202,Performance,Medium,analitica,True,A,0.9713067933806337,0.9713067933806337,True,MI_balanced,16,1.0,,0.5538141936105847,0.27711750759491666
q110_1336202,Performance,Medium,analitica,True,A,0.9713067933806337,0.9713067933806337,True,UC_audio,11,1.0,,0.9112875114194774,0.02526979978001104
q110_1336202,Performance,Medium,analitica,True,A,0.9713067933806337,0.9713067933806337,True,UC_text,6,1.0,,0.9544056671845187,0.3699124071645095
q111_1336202,Functional Context,Low,knowledge,True,A,0.845488677282097,0.845488677282097,True,MI,14,7.0,7.0,0.4641521269322667,0.7944388291000186
q111_1336202,Functional Context,Low,knowledge,True,A,0.845488677282097,0.845488677282097,True,MI_balanced,14,2.0,2.0,0.5416230820625294,1.035983985305941
q111_1336202,Functional Context,Low,knowledge,True,A,0.845488677282097,0.845488677282097,True,UC_audio,7,,,0.3402968923112156,0.22986244274878778
q111_1336202,Functional Context,Low,knowledge,True,A,0.845488677282097,0.845488677282097,True,UC_text,5,1.0,1.0,1.0304211053363495,0.6484389309885408
q112_1336202,Instrumentation,Medium,percettiva,True,A,0.39637512250371476,0.39637512250371476,True,MI,16,,6.0,-0.43777265979093616,0.5372963324273512
q112_1336202,Instrumentation,Medium,percettiva,True,A,0.39637512250371476,0.39637512250371476,True,MI_balanced,16,,3.0,-0.40126455861110066,0.8649110506613109
q112_1336202,Instrumentation,Medium,percettiva,True,A,0.39637512250371476,0.39637512250371476,True,UC_audio,9,,8.0,0.21225845371186322,0.3503253016611506
q112_1336202,Instrumentation,Medium,percettiva,True,A,0.39637512250371476,0.39637512250371476,True,UC_text,5,,4.0,0.26071141690791805,0.6537766152411675
q113_1327741,Historical and Cultural Context,Low,knowledge,True,A,0.9734817930930613,0.9734817930930613,True,MI,18,1.0,,0.8065331913949841,0.08607266371043902
q113_1327741,Historical and Cultural Context,Low,knowledge,True,A,0.9734817930930613,0.9734817930930613,True,MI_balanced,18,2.0,,0.9068522714249574,0.1416344212324625
q113_1327741,Historical and Cultural Context,Low,knowledge,True,A,0.9734817930930613,0.9734817930930613,True,UC_audio,11,4.0,,0.7898464737897444,-0.00382892082743515
q113_1327741,Historical and Cultural Context,Low,knowledge,True,A,0.9734817930930613,0.9734817930930613,True,UC_text,8,1.0,5.0,0.9906133903387694,0.30789093304826337
q114_1327741,Melody,High,analitica,False,B,0.44055834665550353,0.1430283542570244,True,MI,12,1.0,2.0,1.9632297663637555,0.47607866723605174
q114_1327741,Melody,High,analitica,False,B,0.44055834665550353,0.1430283542570244,True,MI_balanced,12,1.0,2.0,1.9364474108807455,0.3530799771818576
q114_1327741,Melody,High,analitica,False,B,0.44055834665550353,0.1430283542570244,True,UC_audio,7,1.0,,1.5703102131252462,0.15585577458832417
q114_1327741,Melody,High,analitica,False,B,0.44055834665550353,0.1430283542570244,True,UC_text,4,1.0,3.0,1.7038561380478696,0.44353730799445734
q115_1327741,Musical Texture,Medium,percettiva,False,D,0.4678910278416221,0.3020931526547751,True,MI,9,1.0,1.0,2.700456835620033,1.5128561860742304
q115_1327741,Musical Texture,Medium,percettiva,False,D,0.4678910278416221,0.3020931526547751,True,MI_balanced,9,1.0,1.0,2.65289720719593,1.5760458836788318
q115_1327741,Musical Texture,Medium,percettiva,False,D,0.4678910278416221,0.3020931526547751,True,UC_audio,5,1.0,,1.9477723880936169,-0.19653939876945462
q115_1327741,Musical Texture,Medium,percettiva,False,D,0.4678910278416221,0.3020931526547751,True,UC_text,4,1.0,1.0,1.5948149202683335,1.7350272314464261
q116_1162034,Harmony,High,analitica,True,A,0.8913306863453399,0.8913306863453399,True,MI,13,1.0,,0.56044660893138,-0.07633680011455478
q116_1162034,Harmony,High,analitica,True,A,0.8913306863453399,0.8913306863453399,True,MI_balanced,13,1.0,,0.5748768481043728,-0.07885815823775327
q116_1162034,Harmony,High,analitica,True,A,0.8913306863453399,0.8913306863453399,True,UC_audio,12,1.0,,0.7428682593354788,0.023866803934273415
q116_1162034,Harmony,High,analitica,True,A,0.8913306863453399,0.8913306863453399,True,UC_text,4,1.0,,1.1077989072042584,0.29128313883804485
q117_1162034,Melody,High,analitica,False,D,0.7912802147671955,0.09450494478037354,True,MI,16,1.0,,0.9245270991981289,0.19926293987244004
q117_1162034,Melody,High,analitica,False,D,0.7912802147671955,0.09450494478037354,True,MI_balanced,16,1.0,,1.014638967656618,0.37841707674937575
q117_1162034,Melody,High,analitica,False,D,0.7912802147671955,0.09450494478037354,True,UC_audio,7,1.0,,0.8482590781232531,0.0874100362343325
q117_1162034,Melody,High,analitica,False,D,0.7912802147671955,0.09450494478037354,True,UC_text,7,1.0,,0.9776038707706431,0.03449410324217366
q118_1162034,Instrumentation,Low,percettiva,False,B,0.6817631085921116,0.20792600046348078,True,MI,18,1.0,,0.6492538244551566,0.1848354942360536
q118_1162034,Instrumentation,Low,percettiva,False,B,0.6817631085921116,0.20792600046348078,True,MI_balanced,18,4.0,,0.7136913661013967,0.18713247756428983
q118_1162034,Instrumentation,Low,percettiva,False,B,0.6817631085921116,0.20792600046348078,True,UC_audio,13,1.0,,0.8487628793251791,0.13211463007264032
q118_1162034,Instrumentation,Low,percettiva,False,B,0.6817631085921116,0.20792600046348078,True,UC_text,3,1.0,,0.6403980268920824,0.16135340805777537
q119_1227239,Mood and Expression,Low,knowledge,True,A,0.9821433481701327,0.9821433481701327,True,MI,13,1.0,,0.097793335537534,0.19282979279781115
q119_1227239,Mood and Expression,Low,knowledge,True,A,0.9821433481701327,0.9821433481701327,True,MI_balanced,13,,,0.12426621796179987,0.17638881475281146
q119_1227239,Mood and Expression,Low,knowledge,True,A,0.9821433481701327,0.9821433481701327,True,UC_audio,10,1.0,,0.9957796959812166,0.006174466354150857
q119_1227239,Mood and Expression,Low,knowledge,True,A,0.9821433481701327,0.9821433481701327,True,UC_text,9,5.0,5.0,0.6523689766744288,0.8393383686027641
q11_1093606,Harmony,High,analitica,False,B,0.4026710828604312,0.1153671967964006,True,MI,20,,10.0,-0.26699985389396097,0.3388211304312173
q11_1093606,Harmony,High,analitica,False,B,0.4026710828604312,0.1153671967964006,True,MI_balanced,20,8.0,4.0,0.44770215563292176,0.5899004545721799
q11_1093606,Harmony,High,analitica,False,B,0.4026710828604312,0.1153671967964006,True,UC_audio,8,,,-0.2693609605324062,-0.060323485033732305
q11_1093606,Harmony,High,analitica,False,B,0.4026710828604312,0.1153671967964006,True,UC_text,5,3.0,1.0,0.6349539513649359,1.7428315729336064
q120_1227239,Harmony,Medium,analitica,False,C,0.49145919809703353,0.2180836971701632,True,MI,20,1.0,,1.7853585576499436,-0.12607862286946175
q120_1227239,Harmony,Medium,analitica,False,C,0.49145919809703353,0.2180836971701632,True,MI_balanced,20,1.0,,1.3159202939199577,-0.1906160660611316
q120_1227239,Harmony,Medium,analitica,False,C,0.49145919809703353,0.2180836971701632,True,UC_audio,4,1.0,,1.3473573875543303,-0.1333661976635439
q120_1227239,Harmony,Medium,analitica,False,C,0.49145919809703353,0.2180836971701632,True,UC_text,6,1.0,,1.8332066063726844,-0.27953566345276193
q121_1227239,Instrumentation,Low,percettiva,True,A,0.9748952839595102,0.9748952839595102,True,MI,21,4.0,2.0,0.7510488072665428,0.9855853996064291
q121_1227239,Instrumentation,Low,percettiva,True,A,0.9748952839595102,0.9748952839595102,True,MI_balanced,21,2.0,1.0,0.8851303423541241,0.8717820063035445
q121_1227239,Instrumentation,Low,percettiva,True,A,0.9748952839595102,0.9748952839595102,True,UC_audio,11,1.0,,0.7366664191631198,0.02187128656110088
q121_1227239,Instrumentation,Low,percettiva,True,A,0.9748952839595102,0.9748952839595102,True,UC_text,9,1.0,1.0,0.9076365601553374,1.0066051127587012
q122_114772,Structure,Medium,analitica,True,A,0.5356688034361117,0.5356688034361117,True,MI,13,2.0,4.0,0.288602301215707,0.5309798146232442
q122_114772,Structure,Medium,analitica,True,A,0.5356688034361117,0.5356688034361117,True,MI_balanced,13,1.0,3.0,0.42714027013681094,0.565716391548687
q122_114772,Structure,Medium,analitica,True,A,0.5356688034361117,0.5356688034361117,True,UC_audio,9,,,-0.08375283191097091,-0.1363724046485129
q122_114772,Structure,Medium,analitica,True,A,0.5356688034361117,0.5356688034361117,True,UC_text,3,2.0,,1.7132801025231963,-0.040340370247905696
q123_114772,Harmony,Medium,analitica,True,A,0.9309392347855223,0.9309392347855223,True,MI,13,1.0,,0.652079421082128,0.031056781979274816
q123_114772,Harmony,Medium,analitica,True,A,0.9309392347855223,0.9309392347855223,True,MI_balanced,13,3.0,,0.7636405839156117,0.02948978796017185
q123_114772,Harmony,Medium,analitica,True,A,0.9309392347855223,0.9309392347855223,True,UC_audio,5,1.0,,0.9515381068027534,0.0025962688117429646
q123_114772,Harmony,Medium,analitica,True,A,0.9309392347855223,0.9309392347855223,True,UC_text,5,1.0,2.0,1.0087383302999586,1.1555915796686316
q124_114772,Musical Texture,Low,percettiva,False,C,0.9293360976359615,0.05941046906405498,True,MI,11,,1.0,-0.22810009304986548,1.2335639784767962
q124_114772,Musical Texture,Low,percettiva,False,C,0.9293360976359615,0.05941046906405498,True,MI_balanced,11,,1.0,-0.2527723514008241,1.20719762679654
q124_114772,Musical Texture,Low,percettiva,False,C,0.9293360976359615,0.05941046906405498,True,UC_audio,11,1.0,,0.9980032191734411,0.0040985950793531725
q124_114772,Musical Texture,Low,percettiva,False,C,0.9293360976359615,0.05941046906405498,True,UC_text,9,6.0,1.0,0.6400377182174238,1.2601348580518443
q125_187621,Functional Context,Low,knowledge,True,A,0.5568221640048548,0.5568221640048548,True,MI,6,1.0,5.0,1.694867619689886,0.35494810651255204
q125_187621,Functional Context,Low,knowledge,True,A,0.5568221640048548,0.5568221640048548,True,MI_balanced,6,1.0,,1.7669785016183541,0.2803373665736938
q125_187621,Functional Context,Low,knowledge,True,A,0.5568221640048548,0.5568221640048548,True,UC_audio,8,1.0,2.0,0.6175651477887587,0.3985058190944572
q125_187621,Functional Context,Low,knowledge,True,A,0.5568221640048548,0.5568221640048548,True,UC_text,6,1.0,,1.60591521006317,-0.5840836931561152
q126_187621,Mood and Expression,Low,knowledge,True,A,0.7394931359060308,0.7394931359060308,True,MI,15,1.0,4.0,1.310321676389126,0.6881241111425834
q126_187621,Mood and Expression,Low,knowledge,True,A,0.7394931359060308,0.7394931359060308,True,MI_balanced,15,1.0,1.0,1.2532442178871142,0.915412901037823
q126_187621,Mood and Expression,Low,knowledge,True,A,0.7394931359060308,0.7394931359060308,True,UC_audio,11,1.0,10.0,1.4027749650384058,0.6182237187372496
q126_187621,Mood and Expression,Low,knowledge,True,A,0.7394931359060308,0.7394931359060308,True,UC_text,6,1.0,,1.0267054544934333,0.103111655241913
q127_187621,Instrumentation,Low,percettiva,True,A,0.9952228706499157,0.9952228706499157,True,MI,22,10.0,14.0,0.35112163800129736,0.15973707409292023
q127_187621,Instrumentation,Low,percettiva,True,A,0.9952228706499157,0.9952228706499157,True,MI_balanced,22,6.0,7.0,0.6558410272789227,0.551364094232079
q127_187621,Instrumentation,Low,percettiva,True,A,0.9952228706499157,0.9952228706499157,True,UC_audio,12,5.0,,0.7388110950005783,0.010311501947033223
q127_187621,Instrumentation,Low,percettiva,True,A,0.9952228706499157,0.9952228706499157,True,UC_text,6,1.0,,0.9811891489198891,0.08939619239159956
q128_332470,Metre and Rhythm,Medium,percettiva,True,A,0.8974236104311758,0.8974236104311758,True,MI,18,3.0,1.0,0.6438590499520623,1.112396465696739
q128_332470,Metre and Rhythm,Medium,percettiva,True,A,0.8974236104311758,0.8974236104311758,True,MI_balanced,18,2.0,1.0,0.9572789673550101,1.164149004897481
q128_332470,Metre and Rhythm,Medium,percettiva,True,A,0.8974236104311758,0.8974236104311758,True,UC_audio,11,2.0,,0.8762347761409995,0.03356545565034366
q128_332470,Metre and Rhythm,Medium,percettiva,True,A,0.8974236104311758,0.8974236104311758,True,UC_text,8,5.0,1.0,0.7394426481206989,1.191323416490138
q129_332470,Historical and Cultural Context,Low,knowledge,True,A,0.9779536164012994,0.9779536164012994,True,MI,16,1.0,,0.12099278587946515,0.031156144167791788
q129_332470,Historical and Cultural Context,Low,knowledge,True,A,0.9779536164012994,0.9779536164012994,True,MI_balanced,16,11.0,,0.33664689286218435,0.04436987738941849
q129_332470,Historical and Cultural Context,Low,knowledge,True,A,0.9779536164012994,0.9779536164012994,True,UC_audio,11,6.0,,0.5987809321966996,-0.0029188073944641847
q129_332470,Historical and Cultural Context,Low,knowledge,True,A,0.9779536164012994,0.9779536164012994,True,UC_text,9,1.0,,0.9893753854959774,0.09458255770471374
q12_1093606,Instrumentation,Low,percettiva,True,A,0.5616082500117128,0.5616082500117128,True,MI,12,1.0,7.0,1.596958779954527,0.6565064258940997
q12_1093606,Instrumentation,Low,percettiva,True,A,0.5616082500117128,0.5616082500117128,True,MI_balanced,12,1.0,7.0,0.9187560910581781,0.569992199664831
q12_1093606,Instrumentation,Low,percettiva,True,A,0.5616082500117128,0.5616082500117128,True,UC_audio,5,1.0,,0.6913808960327104,0.014364377619514083
q12_1093606,Instrumentation,Low,percettiva,True,A,0.5616082500117128,0.5616082500117128,True,UC_text,7,1.0,,1.7725533784403509,-0.5977854693460104
q130_332470,Melody,Medium,analitica,False,B,0.6722344270528827,0.2473012253604192,True,MI,14,1.0,12.0,0.5859344925406174,0.23994594257587537
q130_332470,Melody,Medium,analitica,False,B,0.6722344270528827,0.2473012253604192,True,MI_balanced,14,2.0,2.0,0.7649711896544912,0.6613051915067292
q130_332470,Melody,Medium,analitica,False,B,0.6722344270528827,0.2473012253604192,True,UC_audio,9,1.0,,1.2266645990448488,-0.0169119417544134
q130_332470,Melody,Medium,analitica,False,B,0.6722344270528827,0.2473012253604192,True,UC_text,7,3.0,3.0,0.8023073449520659,0.8801759670485148
q131_182074,Sound Texture,Low,percettiva,False,B,0.4904262253891052,0.3370646867478569,True,MI,15,1.0,5.0,0.6686085775744942,0.5281047412797777
q131_182074,Sound Texture,Low,percettiva,False,B,0.4904262253891052,0.3370646867478569,True,MI_balanced,15,1.0,4.0,1.558676869681503,1.0778165148206484
q131_182074,Sound Texture,Low,percettiva,False,B,0.4904262253891052,0.3370646867478569,True,UC_audio,11,1.0,5.0,0.8355042247779477,0.2953457044585134
q131_182074,Sound Texture,Low,percettiva,False,B,0.4904262253891052,0.3370646867478569,True,UC_text,2,1.0,1.0,0.7458533727004284,0.7652648369491974
q132_182074,Instrumentation,Medium,percettiva,True,A,0.6015465292728857,0.6015465292728857,True,MI,18,1.0,4.0,0.8518515027031796,0.7078112112422653
q132_182074,Instrumentation,Medium,percettiva,True,A,0.6015465292728857,0.6015465292728857,True,MI_balanced,18,2.0,1.0,1.3095804976563339,1.0877448005092825
q132_182074,Instrumentation,Medium,percettiva,True,A,0.6015465292728857,0.6015465292728857,True,UC_audio,7,1.0,,1.2031808456450686,0.06227044317147461
q132_182074,Instrumentation,Medium,percettiva,True,A,0.6015465292728857,0.6015465292728857,True,UC_text,4,3.0,,0.8528754862551616,-0.151241231053119
q133_182074,Sound Texture,Low,percettiva,True,A,0.9751021728511681,0.9751021728511681,True,MI,14,1.0,10.0,0.7862238494552639,0.5260595936256324
q133_182074,Sound Texture,Low,percettiva,True,A,0.9751021728511681,0.9751021728511681,True,MI_balanced,14,4.0,5.0,0.8306758579554071,0.6704178038970168
q133_182074,Sound Texture,Low,percettiva,True,A,0.9751021728511681,0.9751021728511681,True,UC_audio,6,1.0,,0.9948571002886529,-0.014132772433897416
q133_182074,Sound Texture,Low,percettiva,True,A,0.9751021728511681,0.9751021728511681,True,UC_text,8,1.0,3.0,0.9662927459609472,0.7245769780224347
q134_172015,Metre and Rhythm,High,percettiva,True,A,0.47321646225849495,0.47321646225849495,True,MI,9,1.0,2.0,0.9491183195043268,0.8220792716282517
q134_172015,Metre and Rhythm,High,percettiva,True,A,0.47321646225849495,0.47321646225849495,True,MI_balanced,9,2.0,1.0,0.9442333445223604,0.8928610130017564
q134_172015,Metre and Rhythm,High,percettiva,True,A,0.47321646225849495,0.47321646225849495,True,UC_audio,8,1.0,,1.1393150517746566,-0.0010127658706322437
q134_172015,Metre and Rhythm,High,percettiva,True,A,0.47321646225849495,0.47321646225849495,True,UC_text,6,2.0,3.0,0.7913071954333982,0.9039963955267855
q135_172015,Metre and Rhythm,Low,percettiva,False,C,0.4574601189533706,0.37924775901861385,True,MI,13,7.0,6.0,-0.25944730522684173,1.0988144379220268
q135_172015,Metre and Rhythm,Low,percettiva,False,C,0.4574601189533706,0.37924775901861385,True,MI_balanced,13,5.0,4.0,-0.5240665309004006,1.510968831526647
q135_172015,Metre and Rhythm,Low,percettiva,False,C,0.4574601189533706,0.37924775901861385,True,UC_audio,7,,2.0,-0.9542758613184961,-0.39833149679133534
q135_172015,Metre and Rhythm,Low,percettiva,False,C,0.4574601189533706,0.37924775901861385,True,UC_text,8,1.0,6.0,2.230695532344405,1.0849171435180789
q136_172015,Instrumentation,Low,percettiva,True,A,0.8914440110726757,0.8914440110726757,True,MI,14,1.0,7.0,1.029503255259465,0.4492644991696515
q136_172015,Instrumentation,Low,percettiva,True,A,0.8914440110726757,0.8914440110726757,True,MI_balanced,14,1.0,7.0,1.0690373739644452,0.45279066118980543
q136_172015,Instrumentation,Low,percettiva,True,A,0.8914440110726757,0.8914440110726757,True,UC_audio,7,1.0,,0.979369069085937,0.07253641923330245
q136_172015,Instrumentation,Low,percettiva,True,A,0.8914440110726757,0.8914440110726757,True,UC_text,0,,,,
q137_250001,Functional Context,Low,knowledge,True,A,0.9230071337617715,0.9230071337617715,True,MI,15,12.0,,0.30599918388492797,0.03260264588387788
q137_250001,Functional Context,Low,knowledge,True,A,0.9230071337617715,0.9230071337617715,True,MI_balanced,15,12.0,,0.3638819364918502,0.2621771451094173
q137_250001,Functional Context,Low,knowledge,True,A,0.9230071337617715,0.9230071337617715,True,UC_audio,9,2.0,,0.8411960086442998,0.06137547695192247
q137_250001,Functional Context,Low,knowledge,True,A,0.9230071337617715,0.9230071337617715,True,UC_text,7,1.0,,0.9021095279480205,0.21643569146639144
q138_250001,Instrumentation,Medium,percettiva,True,A,0.8875712224597498,0.8875712224597498,True,MI,15,,7.0,-0.07523643237691796,0.4895183206539304
q138_250001,Instrumentation,Medium,percettiva,True,A,0.8875712224597498,0.8875712224597498,True,MI_balanced,15,,8.0,0.05366965698727873,0.48177001339831177
q138_250001,Instrumentation,Medium,percettiva,True,A,0.8875712224597498,0.8875712224597498,True,UC_audio,11,,,-0.10341139236913036,0.08467294295200269
q138_250001,Instrumentation,Medium,percettiva,True,A,0.8875712224597498,0.8875712224597498,True,UC_text,4,1.0,2.0,0.930718729510565,0.37800928316492727
q139_250001,Performance,Medium,analitica,False,D,0.742761862930488,0.10371279432175218,True,MI,16,1.0,,0.6929088295039446,-0.06738029588074214
q139_250001,Performance,Medium,analitica,False,D,0.742761862930488,0.10371279432175218,True,MI_balanced,16,1.0,,0.8788103926084168,-0.14908380516674838
q139_250001,Performance,Medium,analitica,False,D,0.742761862930488,0.10371279432175218,True,UC_audio,2,,,0.1520565087060672,-0.00011743395402285794
q139_250001,Performance,Medium,analitica,False,D,0.742761862930488,0.10371279432175218,True,UC_text,7,1.0,,0.9741557288389977,0.3202237380505025
q13_1045016,Metre and Rhythm,Medium,percettiva,True,A,0.9900946506000697,0.9900946506000697,True,MI,21,1.0,,0.6390912547292374,0.1075687387046771
q13_1045016,Metre and Rhythm,Medium,percettiva,True,A,0.9900946506000697,0.9900946506000697,True,MI_balanced,21,1.0,,0.8309448242058255,0.2742873444242741
q13_1045016,Metre and Rhythm,Medium,percettiva,True,A,0.9900946506000697,0.9900946506000697,True,UC_audio,4,1.0,,0.9483532105869904,-0.0009738964647544713
q13_1045016,Metre and Rhythm,Medium,percettiva,True,A,0.9900946506000697,0.9900946506000697,True,UC_text,9,1.0,,0.9839934939993682,0.17264309038617404
q140_1138688,Instrumentation,Medium,percettiva,True,A,0.8862585648550216,0.8862585648550216,True,MI,13,1.0,,0.8242543034654821,0.14976521732411285
q140_1138688,Instrumentation,Medium,percettiva,True,A,0.8862585648550216,0.8862585648550216,True,MI_balanced,13,1.0,,0.848132288124445,0.13697137415348964
q140_1138688,Instrumentation,Medium,percettiva,True,A,0.8862585648550216,0.8862585648550216,True,UC_audio,7,2.0,,0.6113928938548485,-0.030767426103235327
q140_1138688,Instrumentation,Medium,percettiva,True,A,0.8862585648550216,0.8862585648550216,True,UC_text,6,1.0,,0.9711292160539017,0.20990473364003545
