sample_idx,evaluation_idx,identifier,option_permutation_idx,option_order,correct_answer,predicted_answer,predicted_option_source_index,main_category,difficulty,is_correct,audio_early,audio_middle,audio_late,instruction_early,instruction_middle,instruction_late,question_early,question_middle,question_late,options_early,options_middle,options_late,text_early,text_middle,text_late,audio_drop_early_to_late,text_gain_early_to_late,late_question_audio_ratio,late_options_audio_ratio,late_text_audio_ratio,n_audio_tokens,n_instruction_tokens,n_question_tokens,n_options_tokens,n_other_text_tokens,n_query_text_tokens
3,10,q4_196219,1,BACD,B,B,0,Musical Texture,Medium,1,0.03865079,0.02055001,0.02298743,0.31168196,0.26971074,0.24675608,0.05345003,0.05103365,0.02122585,0.10487340,0.16151364,0.05813570,0.96134918,0.97944997,0.97701257,0.01566335,0.01566338,0.92336759,2.52902075,42.50202944,1500,62,14,21,21,118
3,11,q4_196219,2,CDAB,C,C,0,Musical Texture,Medium,1,0.04909346,0.03514669,0.02143308,0.30705260,0.27452788,0.23205368,0.05130724,0.03230201,0.02099095,0.07929207,0.12973908,0.05629280,0.95090653,0.96485332,0.97856689,0.02766039,0.02766036,0.97937145,2.62644497,45.65684994,1500,62,14,21,21,118
4,12,q5_196219,0,CBAD,C,C,0,Performance,Low,1,0.04890856,0.03547942,0.02163202,0.30482321,0.26411569,0.21672120,0.05187910,0.03652382,0.02345904,0.08023533,0.14140663,0.07141195,0.95109142,0.96452058,0.97836803,0.02727654,0.02727661,1.08445896,3.30121472,45.22776676,1500,62,13,22,21,118
4,13,q5_196219,1,DABC,B,B,0,Performance,Low,1,0.03995303,0.02121604,0.02225623,0.31154125,0.25901503,0.23915806,0.05387826,0.05427183,0.02263397,0.09982606,0.16149620,0.06639327,0.96004693,0.97878398,0.97774376,0.01769679,0.01769683,1.01697225,2.98313160,43.93123140,1500,62,13,22,21,118
4,14,q5_196219,2,ADBC,A,A,0,Performance,Low,1,0.03961301,0.02309733,0.02267132,0.31697096,0.26953789,0.23187592,0.06235361,0.05364157,0.02526318,0.09321542,0.15305758,0.06958472,0.96038698,0.97690268,0.97732867,0.01694169,0.01694169,1.11432310,3.06928412,43.10859050,1500,62,13,22,21,118
5,15,q6_196219,0,BCDA,D,D,0,Melody,Medium,1,0.04444934,0.01954787,0.01958879,0.31895490,0.27742983,0.25792538,0.05770182,0.05025848,0.02068638,0.08480554,0.15592863,0.05397456,0.95555064,0.98045214,0.98041120,0.02486055,0.02486056,1.05603157,2.75538054,50.04961106,1500,62,11,16,21,110
5,16,q6_196219,1,DCBA,D,D,0,Melody,Medium,1,0.04455771,0.01995611,0.02077591,0.31957484,0.27452046,0.25779263,0.05711571,0.05171991,0.02270820,0.08462275,0.15576340,0.05512612,0.95544225,0.98004389,0.97922410,0.02378180,0.02378186,1.09300638,2.65336759,47.13267252,1500,62,11,16,21,110
5,17,q6_196219,2,BDAC,C,C,0,Melody,Medium,1,0.04839929,0.03092422,0.01828382,0.30972229,0.27324117,0.23671419,0.05207379,0.03101691,0.01976834,0.06990172,0.14347410,0.05693647,0.95160078,0.96907581,0.98171615,0.03011547,0.03011538,1.08119347,3.11403642,53.69317056,1500,62,11,16,21,110
6,18,q7_171574,0,CBDA,D,D,0,Metre and Rhythm,Medium,1,0.04056865,0.01804024,0.02654148,0.31927105,0.28827854,0.23269083,0.04869288,0.03900738,0.02050625,0.09597319,0.14274156,0.05932352,0.95943138,0.98195975,0.97345851,0.01402717,0.01402714,0.77261151,2.23512491,36.67687502,1500,62,11,21,21,115
6,19,q7_171574,1,BCAD,C,C,0,Metre and Rhythm,Medium,1,0.05068779,0.03559978,0.02975070,0.30808799,0.25592400,0.19884675,0.04462980,0.02322836,0.02454283,0.07403439,0.12956009,0.07530794,0.94931226,0.96440018,0.97024929,0.02093708,0.02093703,0.82494949,2.53129945,32.61264996,1500,62,11,21,21,115
6,20,q7_171574,2,DBAC,C,C,0,Metre and Rhythm,Medium,1,0.05046186,0.03498354,0.02767902,0.30789545,0.25866872,0.20123004,0.04437035,0.02322381,0.02350584,0.07407846,0.13258805,0.07499301,0.94953815,0.96501643,0.97232101,0.02278284,0.02278287,0.84922932,2.70938051,35.12844435,1500,62,11,21,21,115
7,21,q8_171574,0,ADBC,A,B,3,Harmony,Medium,0,0.03730515,0.01638978,0.02007525,0.32340945,0.27181834,0.24563499,0.05255594,0.04721111,0.02623425,0.08960712,0.15085340,0.05316812,0.96269478,0.98361018,0.97992476,0.01722991,0.01722997,1.30679599,2.64844133,48.81258626,1500,62,9,15,21,107
7,22,q8_171574,1,ABDC,A,A,0,Harmony,Medium,1,0.03691375,0.01713846,0.01972058,0.33228638,0.28049416,0.23730677,0.05652888,0.04721767,0.03065524,0.08293472,0.14133658,0.05747858,0.96308630,0.98286155,0.98027941,0.01719317,0.01719312,1.55447988,2.91464993,49.70845441,1500,62,9,15,21,107
7,23,q8_171574,2,BACD,B,B,0,Harmony,Medium,1,0.03730622,0.01721407,0.01927248,0.32353987,0.26605755,0.24572357,0.05242552,0.04894110,0.02735598,0.08938843,0.14882531,0.04910312,0.96269379,0.98278596,0.98072750,0.01803374,0.01803371,1.41943244,2.54783676,50.88746757,1500,62,9,15,21,107
8,24,q9_171574,0,CDBA,D,A,2,Sound Texture,Medium,0,0.03614245,0.01905062,0.02541455,0.31238516,0.26066309,0.22845961,0.06384739,0.04843538,0.02733804,0.09580318,0.16601936,0.06598375,0.96385752,0.98094939,0.97458548,0.01072791,0.01072795,1.07568486,2.59629857,38.34754724,1500,62,18,26,21,127
8,25,q9_171574,1,ADCB,A,A,0,Sound Texture,Medium,1,0.03623878,0.01960176,0.02600352,0.31286513,0.25858129,0.22474539,0.06379830,0.04946376,0.02691528,0.09478864,0.16324765,0.06377418,0.96376121,0.98039824,0.97399643,0.01023526,0.01023522,1.03506295,2.45252104,37.45632738,1500,62,18,26,21,127
8,26,q9_171574,2,BCAD,C,C,0,Sound Texture,Medium,1,0.04532375,0.03036562,0.02481985,0.29676168,0.24192813,0.21893948,0.06086788,0.03788994,0.02722090,0.08779275,0.16030974,0.06340813,0.95467625,0.96963438,0.97518015,0.02050390,0.02050390,1.09673913,2.55473431,39.29033026,1500,61,18,27,21,127
9,27,q10_1093606,0,CABD,B,B,0,Sound Texture,Low,1,0.06911560,0.02168541,0.01722427,0.30949099,0.27087521,0.24913178,0.04455460,0.03846941,0.01913478,0.09760159,0.17270813,0.06764700,0.93088440,0.97831459,0.98277573,0.05189133,0.05189133,1.11091947,3.92742277,57.05760469,1500,62,11,21,21,115
9,28,q10_1093606,1,BCAD,C,C,0,Sound Texture,Low,1,0.07696367,0.03533190,0.01859713,0.30624959,0.26766602,0.22222545,0.04235755,0.02241722,0.02348515,0.07248834,0.12715050,0.07592251,0.92303632,0.96466814,0.98140287,0.05836655,0.05836655,1.26283756,4.08248575,52.77174695,1500,62,11,21,21,115
9,29,q10_1093606,2,BDAC,C,C,0,Sound Texture,Low,1,0.07708013,0.03546697,0.01848217,0.30415352,0.26568482,0.22563937,0.04173121,0.02239208,0.02331287,0.07299857,0.12823416,0.07256255,0.92291979,0.96453306,0.98151786,0.05859797,0.05859806,1.26137086,3.92608462,53.10621231,1500,62,11,21,21,115
10,30,q11_1093606,0,ACBD,A,B,2,Harmony,High,0,0.06934780,0.02192357,0.01483611,0.30092269,0.24312495,0.23778329,0.06324685,0.06265207,0.03050035,0.09920933,0.18464352,0.06619003,0.93065221,0.97807644,0.98516390,0.05451169,0.05451169,2.05581927,4.46141535,66.40313326,1500,62,13,26,21,122
10,31,q11_1093606,1,CBAD,C,C,0,Harmony,High,1,0.07649479,0.03383971,0.01791361,0.29435366,0.24794009,0.20503372,0.06295643,0.05186943,0.03377359,0.08589470,0.17477309,0.08224344,0.92350522,0.96616029,0.98208638,0.05858117,0.05858116,1.88535888,4.59111381,54.82346367,1500,62,13,26,21,122
10,32,q11_1093606,2,BCAD,C,B,2,Harmony,High,0,0.06987481,0.02152161,0.01524514,0.29882938,0.24645894,0.23519500,0.06264621,0.06046440,0.02849153,0.10057279,0.18956285,0.06917349,0.93012518,0.97847837,0.98475485,0.05462967,0.05462967,1.86889260,4.53741180,64.59466599,1500,62,13,26,21,122
11,33,q12_1093606,0,CABD,B,B,0,Instrumentation,Low,1,0.06969881,0.02387813,0.01831174,0.31644652,0.25003999,0.24898070,0.04652570,0.05635727,0.02025749,0.08916426,0.16793175,0.07360365,0.93030115,0.97612188,0.98168824,0.05138707,0.05138709,1.10625728,4.01947881,53.60977753,1500,62,10,20,21,113
11,34,q12_1093606,1,CBAD,C,C,0,Instrumentation,Low,1,0.07958774,0.04394759,0.03557569,0.31210399,0.25792248,0.18543514,0.04421596,0.01536530,0.02677807,0.05968213,0.07382654,0.08994970,0.92041224,0.95605244,0.96442430,0.04401205,0.04401206,0.75270705,2.52840341,27.10907993,1500,62,10,20,21,113
11,35,q12_1093606,2,CDBA,D,D,0,Instrumentation,Low,1,0.07304534,0.02608082,0.01858560,0.31781038,0.27775054,0.25813722,0.04834692,0.05592459,0.01929490,0.08123417,0.13511192,0.05936742,0.92695467,0.97391919,0.98141441,0.05445974,0.05445973,1.03816400,3.19426899,52.80508786,1500,62,10,20,21,113
12,36,q13_1045016,0,ADCB,A,A,0,Metre and Rhythm,Medium,1,0.06992683,0.02582403,0.02652113,0.31341530,0.26129822,0.23935304,0.05225669,0.05868770,0.02554661,0.10008558,0.17467354,0.06879263,0.93007317,0.97417598,0.97347890,0.04340570,0.04340573,0.96325500,2.59388036,36.70578769,1500,62,10,29,21,122
12,37,q13_1045016,1,BADC,B,B,0,Metre and Rhythm,Medium,1,0.07311595,0.02585897,0.02656652,0.30364673,0.24409027,0.25021483,0.04377279,0.05626564,0.02412407,0.10730223,0.19008089,0.07143952,0.92688404,0.97414100,0.97343347,0.04654944,0.04654944,0.90806316,2.68908144,36.64136783,1500,62,10,29,21,122
12,38,q13_1045016,2,CADB,B,B,0,Metre and Rhythm,Medium,1,0.07310812,0.02571850,0.02785465,0.30349052,0.24810418,0.24498536,0.04391016,0.05627741,0.02587904,0.10701850,0.18585330,0.06944414,0.92689188,0.97428154,0.97214534,0.04525348,0.04525346,0.92907451,2.49308994,34.90065241,1500,62,10,29,21,122
13,39,q14_1045016,0,BDCA,D,C,2,Instrumentation,Low,0,0.08183890,0.03604531,0.03178456,0.30477498,0.27466054,0.23331774,0.04476696,0.02880651,0.02597112,0.06601603,0.12064236,0.06039152,0.91816113,0.96395466,0.96821543,0.05005434,0.05005430,0.81709864,1.90002687,30.46181513,1500,62,8,18,21,109
13,40,q14_1045016,1,BDAC,C,D,2,Instrumentation,Low,0,0.07448515,0.02983861,0.03035844,0.31596471,0.29121509,0.26078352,0.04657766,0.05411453,0.02090248,0.08334897,0.12796958,0.05345399,0.92551482,0.97016142,0.96964156,0.04412670,0.04412674,0.68852290,1.76076180,31.93976385,1500,62,8,18,21,109
13,41,q14_1045016,2,DACB,B,C,2,Instrumentation,Low,0,0.07953358,0.03543061,0.03234681,0.30640758,0.27026344,0.23011048,0.04458538,0.03005501,0.02257843,0.06796772,0.12880484,0.05892332,0.92046643,0.96456936,0.96765316,0.04718677,0.04718673,0.69801118,1.82161166,29.91495024,1500,62,8,18,21,109
14,42,q15_1045016,0,ABCD,A,A,0,Sound Texture,Low,1,0.06878900,0.02315779,0.02125897,0.32162193,0.27251950,0.24100315,0.05270231,0.05067555,0.03120037,0.08370680,0.16680157,0.07623999,0.93121098,0.97684220,0.97874102,0.04753003,0.04753003,1.46763288,3.58624999,46.03896205,1500,62,11,15,21,109
14,43,q15_1045016,1,CADB,B,B,0,Sound Texture,Low,1,0.07151592,0.02282018,0.02465695,0.31413363,0.26333210,0.24548474,0.04862349,0.05407775,0.03048779,0.08907039,0.17991267,0.07585914,0.92848407,0.97717981,0.97534307,0.04685897,0.04685901,1.23647865,3.07658267,39.55652199,1500,62,11,15,21,109
14,44,q15_1045016,2,ADBC,A,A,0,Sound Texture,Low,1,0.06851814,0.02304015,0.02181740,0.32170548,0.27099793,0.24286294,0.05289178,0.05019375,0.02892167,0.08375208,0.17195805,0.07308997,0.93148190,0.97695983,0.97818255,0.04670074,0.04670065,1.32562404,3.35007669,44.83497020,1500,62,11,15,21,109
15,45,q16_1100505,0,ACDB,A,A,0,Sound Texture,Medium,1,0.07890967,0.02479675,0.02377707,0.31126598,0.27406686,0.23662740,0.06096675,0.06331132,0.02942420,0.08319090,0.15888061,0.05781708,0.92109033,0.97520327,0.97622290,0.05513260,0.05513257,1.23750341,2.43163192,41.05732790,1750,62,15,17,21,115
15,46,q16_1100505,1,CDAB,C,C,0,Sound Texture,Medium,1,0.09261254,0.03502371,0.02489573,0.29865603,0.26988524,0.23689419,0.05269396,0.04676519,0.02598027,0.06854934,0.14137714,0.05363195,0.90738748,0.96497629,0.97510427,0.06771681,0.06771679,1.04356329,2.15426325,39.16753402,1750,62,15,17,21,115
15,47,q16_1100505,2,ADCB,A,A,0,Sound Texture,Medium,1,0.07920180,0.02474426,0.02404039,0.31137300,0.27442382,0.23972428,0.06078588,0.06348767,0.02835030,0.08291426,0.15922684,0.05727505,0.92079820,0.97525576,0.97595956,0.05516141,0.05516136,1.17927768,2.38245069,40.59665404,1750,62,15,17,21,115
16,48,q17_1100505,0,ACDB,A,D,1,Performance,Medium,0,0.08048245,0.02651259,0.02232949,0.31612480,0.30650711,0.26136083,0.04400744,0.04174936,0.02260860,0.08878755,0.14020116,0.06207556,0.91951753,0.97348741,0.97767056,0.05815296,0.05815303,1.01249975,2.77998129,43.78383432,1500,62,11,20,21,114
16,49,q17_1100505,1,BDCA,D,A,1,Performance,Medium,0,0.07285601,0.02690570,0.02419804,0.32287407,0.27883740,0.25244257,0.04605809,0.04695472,0.02477474,0.09114917,0.17394685,0.06775209,0.92714399,0.97309429,0.97580193,0.04865796,0.04865794,1.02383223,2.79989952,40.32565701,1500,62,11,20,21,114
16,50,q17_1100505,2,ACBD,A,C,1,Performance,Medium,0,0.09045752,0.05124670,0.05435707,0.30807043,0.22782120,0.14041642,0.03697889,0.01431468,0.02152702,0.05542357,0.04623970,0.05455184,0.90954251,0.94875330,0.94564297,0.03610045,0.03610046,0.39602991,1.00358327,17.39687263,1500,62,11,20,21,114
17,51,q18_1100505,0,ABDC,A,B,1,Sound Texture,Medium,0,0.06766329,0.01410925,0.01199727,0.29857915,0.25470550,0.23279941,0.08114004,0.07576429,0.03543681,0.08352102,0.17745230,0.07579232,0.93233671,0.98589075,0.98800268,0.05566601,0.05566597,2.95373875,6.31746207,82.35226466,1500,62,26,17,21,126
17,52,q18_1100505,1,ADCB,A,D,1,Sound Texture,Medium,0,0.06850667,0.01460430,0.01252345,0.30043241,0.28388633,0.24083818,0.08604491,0.07164002,0.03620637,0.07755933,0.14773762,0.07468268,0.93149330,0.98539570,0.98747653,0.05598322,0.05598323,2.89108690,5.96342874,78.85022088,1500,62,26,17,21,126
17,53,q18_1100505,2,BDAC,C,A,1,Sound Texture,Medium,0,0.06387465,0.01429061,0.01183271,0.30234444,0.26214160,0.22016653,0.08903269,0.07166733,0.03582211,0.07576426,0.16509252,0.07425743,0.93612529,0.98570937,0.98816730,0.05204194,0.05204201,3.02738106,6.27560730,83.51151311,1500,62,26,17,21,126
18,54,q19_435883,0,CBAD,C,C,0,Metre and Rhythm,Medium,1,0.06916595,0.02626717,0.01911737,0.29172425,0.24949659,0.20245354,0.06424460,0.04248485,0.03823991,0.08114530,0.17257368,0.07645817,0.93083408,0.97373282,0.98088261,0.05004857,0.05004853,2.00026990,3.99940743,51.30843978,1500,62,17,29,21,129
18,55,q19_435883,1,CDAB,C,A,2,Metre and Rhythm,Medium,0,0.06130061,0.01778847,0.01779401,0.30465337,0.26379370,0.21511466,0.06779162,0.05536905,0.03636380,0.09166419,0.17604410,0.06987029,0.93869937,0.98221157,0.98220602,0.04350660,0.04350664,2.04359740,3.92661789,55.19868199,1500,62,17,29,21,129
18,56,q19_435883,2,DABC,B,D,2,Metre and Rhythm,Medium,0,0.06886960,0.01843388,0.01789115,0.29989954,0.28006880,0.23724406,0.06402894,0.05582663,0.03367062,0.09018613,0.16026688,0.06355537,0.93113036,0.98156613,0.98210882,0.05097845,0.05097846,1.88197093,3.55233647,54.89356837,1500,62,17,29,21,129
19,57,q20_435883,0,ADCB,A,A,0,Melody,High,1,0.04717491,0.02749480,0.02648587,0.32458630,0.26777033,0.23179844,0.06534347,0.05082575,0.02672346,0.08735176,0.15976609,0.05872365,0.95282511,0.97250516,0.97351411,0.02068903,0.02068900,1.00897049,2.21716907,36.75597828,1100,62,13,23,21,119
19,58,q20_435883,1,BADC,B,B,0,Melody,High,1,0.04767110,0.02616271,0.03106468,0.31427246,0.25056307,0.23896606,0.05881167,0.05100971,0.02152743,0.09513078,0.17150535,0.05460726,0.95232888,0.97383729,0.96893530,0.01660642,0.01660642,0.69298722,1.75785692,31.19089936,1100,62,13,23,21,119
19,59,q20_435883,2,DABC,B,B,0,Melody,High,1,0.04759901,0.02573119,0.03027649,0.31339839,0.24837995,0.23909031,0.05856177,0.05077475,0.02341185,0.09597715,0.17593809,0.05696427,0.95240099,0.97426884,0.96972351,0.01732252,0.01732252,0.77326807,1.88146855,32.02892274,1100,62,13,23,21,119
20,60,q21_435883,0,BACD,B,B,0,Performance,Medium,1,0.06643353,0.02326554,0.02254715,0.31333556,0.25450140,0.23460367,0.05357416,0.04624650,0.01948522,0.09157812,0.18763445,0.07945806,0.93356646,0.97673445,0.97745283,0.04388638,0.04388637,0.86419888,3.52408454,43.35150176,1500,62,12,18,21,113
20,61,q21_435883,1,DBAC,C,C,0,Performance,Medium,1,0.07179260,0.03664145,0.03156241,0.30521181,0.26712673,0.17965264,0.05657322,0.01695441,0.02769658,0.06344469,0.10711012,0.10544458,0.92820735,0.96335856,0.96843761,0.04023019,0.04023026,0.87751780,3.34082768,30.68325784,1500,62,12,18,21,113
20,62,q21_435883,2,ACBD,A,A,0,Performance,Medium,1,0.06240134,0.02342537,0.02128161,0.32397703,0.27271525,0.23498282,0.05688464,0.04705194,0.02213136,0.08531853,0.16383791,0.07147849,0.93759868,0.97657460,0.97871840,0.04111972,0.04111972,1.03992893,3.35869688,45.98892067,1500,62,12,18,21,113
21,63,q22_1215874,0,BCAD,C,C,0,Melody,Medium,1,0.07089828,0.03117931,0.02230092,0.30649035,0.26666994,0.21536934,0.06031165,0.02706305,0.03140334,0.06552555,0.12696495,0.07220686,0.92910162,0.96882070,0.97769910,0.04859736,0.04859748,1.40816358,3.23784231,43.84120008,1500,62,15,18,21,116
21,64,q22_1215874,1,BDCA,D,D,0,Melody,Medium,1,0.06754017,0.02216978,0.01756117,0.31296429,0.29236324,0.24868885,0.06272456,0.05023474,0.02584988,0.08403108,0.14175312,0.05838238,0.93245987,0.97783016,0.98243879,0.04997900,0.04997892,1.47199092,3.32451525,55.94381118,1500,62,15,18,21,116
21,65,q22_1215874,2,CABD,B,B,0,Melody,Medium,1,0.06766323,0.02115783,0.01805193,0.30829991,0.25887486,0.24407432,0.06098716,0.05247287,0.02448191,0.08882566,0.18184294,0.06763372,0.93233681,0.97884213,0.98194804,0.04961129,0.04961123,1.35619328,3.74661922,54.39572770,1500,62,15,18,21,116
22,66,q23_1215874,0,DBAC,C,C,0,Sound Texture,Medium,1,0.05440734,0.02499115,0.01904682,0.29835860,0.26619501,0.20712082,0.07446606,0.03325328,0.04188511,0.06541552,0.11159068,0.07463653,0.94559267,0.97500889,0.98095317,0.03536052,0.03536050,2.19906061,3.91858220,51.50219863,800,62,22,19,21,124
22,67,q23_1215874,1,CADB,B,B,0,Sound Texture,Medium,1,0.04681148,0.01789898,0.01588181,0.30346322,0.25320187,0.22997015,0.07483237,0.06741190,0.03283290,0.09163397,0.16050798,0.05608717,0.95318850,0.98210100,0.98411822,0.03092967,0.03092972,2.06732682,3.53153430,61.96509883,800,62,22,19,21,124
22,68,q23_1215874,2,DABC,B,B,0,Sound Texture,Medium,1,0.04602070,0.01836940,0.01567122,0.30349215,0.25433548,0.23182274,0.07390244,0.06728712,0.03438699,0.09239251,0.16012005,0.05547721,0.95397928,0.98163064,0.98432877,0.03034948,0.03034949,2.19427684,3.54006984,62.81124493,800,62,22,19,21,124
23,69,q24_1215874,0,BCAD,C,C,0,Metre and Rhythm,Medium,1,0.07838407,0.06471572,0.07022605,0.28955524,0.25271636,0.14047710,0.05075989,0.02684793,0.01766899,0.07632278,0.08825918,0.10443473,0.92161594,0.93528427,0.92977393,0.00815803,0.00815798,0.25160168,1.48712241,13.23973044,1500,62,12,31,21,126
23,70,q24_1215874,1,BDAC,C,C,0,Metre and Rhythm,Medium,1,0.07795778,0.06368646,0.06840524,0.28854428,0.25310963,0.14159355,0.05061619,0.02758377,0.01921106,0.07706314,0.09339949,0.11468154,0.92204226,0.93631349,0.93159475,0.00955254,0.00955249,0.28084198,1.67650242,13.61876378,1500,62,12,31,21,126
23,71,q24_1215874,2,ABCD,A,A,0,Metre and Rhythm,Medium,1,0.06283535,0.02496029,0.02440662,0.30642888,0.24732838,0.22422220,0.05695469,0.05840049,0.02508203,0.09826335,0.18389802,0.08332587,0.93716464,0.97503967,0.97559336,0.03842873,0.03842872,1.02767312,3.41406848,39.97249222,1500,62,12,31,21,126
24,72,q25_135660,0,ADBC,A,D,2,Metre and Rhythm,High,0,0.06046312,0.01847675,0.01882331,0.32209774,0.30442291,0.26216126,0.04687889,0.04985881,0.02286491,0.08975879,0.13733086,0.05338427,0.93953691,0.98152325,0.98117670,0.04163981,0.04163980,1.21471287,2.83607302,52.12562704,1400,62,13,19,21,115
24,73,q25_135660,1,BCAD,C,B,2,Metre and Rhythm,High,0,0.05792930,0.01755813,0.01665564,0.32100848,0.27572409,0.25653134,0.04542942,0.04950544,0.02163231,0.09350850,0.17000457,0.05777288,0.94207066,0.98244187,0.98334435,0.04127366,0.04127369,1.29879803,3.46866834,59.03972876,1400,62,13,19,21,115
24,74,q25_135660,2,DBAC,C,A,3,Metre and Rhythm,High,0,0.05545855,0.01666436,0.01565187,0.32513612,0.28752376,0.24605455,0.04925873,0.04670521,0.02554254,0.08964312,0.15946558,0.06440240,0.94454144,0.98333558,0.98434812,0.03980668,0.03980668,1.63191669,4.11467817,62.89014044,1400,62,13,19,21,115
25,75,q26_135660,0,ABDC,A,B,1,Melody,High,0,0.04780846,0.01580084,0.01700287,0.30771044,0.24607683,0.22368183,0.04848225,0.04716346,0.02350973,0.11510420,0.20250898,0.07706887,0.95219154,0.98419915,0.98299711,0.03080559,0.03080557,1.38269175,4.53269759,57.81359448,800,62,12,37,21,132
25,76,q26_135660,1,DABC,B,A,3,Melody,High,0,0.04513731,0.01559469,0.01586854,0.31536873,0.26864012,0.22575128,0.05487778,0.04104888,0.02073939,0.11064540,0.18583336,0.06213240,0.95486271,0.98440530,0.98413142,0.02926878,0.02926871,1.30695052,3.91544622,62.01778506,800,62,12,37,21,132
25,77,q26_135660,2,BADC,B,C,3,Melody,High,0,0.05627459,0.02803041,0.01827779,0.30258056,0.26130089,0.20428171,0.04824520,0.02484915,0.02453992,0.09116718,0.15018343,0.07167182,0.94372540,0.97196960,0.98172222,0.03799680,0.03799682,1.34260864,3.92125226,53.71121635,800,62,12,37,21,132
26,78,q27_135660,0,BDAC,C,C,0,Sound Texture,Low,1,0.06204693,0.04010389,0.03505708,0.31861742,0.24823934,0.17038159,0.04421248,0.01391732,0.02492868,0.05777066,0.06143744,0.07800675,0.93795310,0.95989611,0.96494292,0.02698985,0.02698983,0.71108835,2.22513572,27.52491076,850,62,11,20,21,114
26,79,q27_135660,1,DABC,B,B,0,Sound Texture,Low,1,0.05189423,0.01979591,0.01892402,0.32094271,0.26563135,0.24791423,0.04890221,0.04724486,0.02169234,0.09322132,0.16258063,0.06349483,0.94810575,0.98020410,0.98107599,0.03297021,0.03297023,1.14628620,3.35525076,51.84289759,850,62,11,20,21,114
